AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	ecotype_s	source_name_s
50	SAMN01103720	SRX174213	GSM980996: ago9  BS-seq	2012-08-07	10122	10343	2013-01-11	SRR534202	SRS353443	GSM980996	ago9	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103721	SRX174214	GSM980997: ago10  BS-seq	2012-08-07	11948	12791	2013-01-11	SRR534203	SRS353444	GSM980997	ago10	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103722	SRX174215	GSM980998: atxr56 BS-seq	2012-08-07	11968	12272	2013-01-11	SRR534204	SRS353445	GSM980998	atxr5/6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103723	SRX174216	GSM980999: bru1 BS-seq	2012-08-07	11942	12946	2013-01-11	SRR534205	SRS353446	GSM980999	bru1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103724	SRX174217	GSM981000: clsy1 BS-seq	2012-08-07	13160	14438	2013-01-11	SRR534206	SRS353447	GSM981000	clsy1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103725	SRX174218	GSM981001: cmt1 BS-seq	2012-08-07	13793	14714	2013-01-11	SRR534207	SRS353448	GSM981001	cmt1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
51	SAMN01103726	SRX174219	GSM981002: cmt2 BS-seq	2013-05-30	11268	12142	2013-05-30	SRR869314	SRS353449	GSM981002	cmt2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103727	SRX174220	GSM981003: cmt3 BS-seq	2012-08-07	10094	10450	2013-01-11	SRR534209	SRS353450	GSM981003	cmt3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103728	SRX174221	GSM981004: dcl2 BS-seq	2012-08-07	12098	12841	2013-01-11	SRR534210	SRS353451	GSM981004	dcl2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103729	SRX174222	GSM981005: dcl3 BS-seq	2012-08-07	12364	13591	2013-01-11	SRR534211	SRS353452	GSM981005	dcl3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103730	SRX174223	GSM981006: dcl4 BS-seq	2012-08-07	9679	9976	2013-01-11	SRR534212	SRS353453	GSM981006	dcl4	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103731	SRX174224	GSM981007: dcl2/4 BS-seq	2012-08-07	11744	12971	2013-01-11	SRR534213	SRS353454	GSM981007	dcl2/4	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103732	SRX174225	GSM981008: dcl2/3/4 BS-seq	2012-08-07	9998	10309	2013-01-11	SRR534214	SRS353455	GSM981008	dcl2/3/4	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103733	SRX174226	GSM981009: ddm1 BS-seq	2012-08-07	7167	8073	2013-01-11	SRR534215	SRS353456	GSM981009	ddm1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103734	SRX174227	GSM981010: dms3 BS-seq	2012-08-07	5814	5453	2013-01-11	SRR534216	SRS353457	GSM981010	dms3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103734	SRX174227	GSM981010: dms3 BS-seq	2012-08-07	1601	1581	2013-01-11	SRR534217	SRS353457	GSM981010	dms3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103735	SRX174228	GSM981011: dms4 BS-seq	2012-08-07	10727	10849	2013-01-11	SRR534218	SRS353458	GSM981011	dms4	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103736	SRX174229	GSM981012: dnmt2 cmt3 BS-seq	2012-08-07	13278	14100	2013-01-11	SRR534219	SRS353459	GSM981012	dnmt2 cmt3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103737	SRX174230	GSM981013: dnmt2 drm12 BS-seq	2012-08-07	13868	14759	2013-01-11	SRR534220	SRS353460	GSM981013	dnmt2 drm12	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103738	SRX174231	GSM981014: drd1 BS-seq	2012-08-07	13193	13948	2013-01-11	SRR534221	SRS353461	GSM981014	drd1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103739	SRX174232	GSM981015: drm1/2 BS-seq	2012-08-07	5770	5499	2013-01-11	SRR534222	SRS353462	GSM981015	drm1/2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103739	SRX174232	GSM981015: drm1/2 BS-seq	2012-08-07	2583	2417	2013-01-11	SRR534223	SRS353462	GSM981015	drm1/2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103740	SRX174233	GSM981016: drm1/2 cmt3 BS-seq	2012-08-07	13081	14588	2013-01-11	SRR534224	SRS353463	GSM981016	drm1/2 cmt3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103741	SRX174234	GSM981017: drm3 BS-seq	2012-08-07	11424	12330	2013-01-11	SRR534225	SRS353464	GSM981017	drm3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103742	SRX174235	GSM981018: fas2 BS-seq	2012-08-07	13347	14886	2013-01-11	SRR534226	SRS353465	GSM981018	fas2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103743	SRX174236	GSM981019: fca BS-seq	2012-08-07	12017	12820	2013-01-11	SRR534227	SRS353466	GSM981019	fca	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103744	SRX174237	GSM981020: fca fpa BS-seq	2012-08-07	11776	12595	2013-01-11	SRR534228	SRS353467	GSM981020	fca fpa	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103745	SRX174238	GSM981021: fld BS-seq	2012-08-07	11432	11727	2013-01-11	SRR534229	SRS353468	GSM981021	fld	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103746	SRX174239	GSM981022: fpa BS-seq	2012-08-07	12498	13500	2013-01-11	SRR534230	SRS353469	GSM981022	fpa	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103747	SRX174240	GSM981023: fve BS-seq	2012-08-07	11614	12528	2013-01-11	SRR534231	SRS353470	GSM981023	fve	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103749	SRX174242	GSM981025: hen1 BS-seq	2012-08-07	11546	11940	2013-01-11	SRR534233	SRS353472	GSM981025	hen1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103750	SRX174243	GSM981026: ibm1 BS-seq	2012-08-07	10898	11066	2013-01-11	SRR534234	SRS353473	GSM981026	ibm1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103751	SRX174244	GSM981027: idn2 BS-seq	2012-08-07	11952	12759	2013-01-11	SRR534235	SRS353474	GSM981027	idn2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103752	SRX174245	GSM981028: idn2 idnl1/2 BS-seq	2012-08-07	14197	15106	2013-01-11	SRR534236	SRS353475	GSM981028	idn2 idnl1/2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103753	SRX174246	GSM981029: idnl1 idnl2 BS-seq	2012-08-07	3725	3518	2013-01-11	SRR534237	SRS353476	GSM981029	idnl1 idnl2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103754	SRX174247	GSM981030: ktf1 BS-seq	2012-08-07	10880	11522	2013-01-11	SRR534238	SRS353477	GSM981030	ktf1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103755	SRX174248	GSM981031: met1 BS-seq	2012-08-07	13487	14261	2013-01-11	SRR534239	SRS353478	GSM981031	met1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103756	SRX174249	GSM981032: met1 cmt3 BS-seq	2012-08-07	11499	11611	2013-01-11	SRR534240	SRS353479	GSM981032	met1 cmt3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103757	SRX174250	GSM981033: met1 het BS-seq	2012-08-07	11769	12451	2013-01-11	SRR534241	SRS353480	GSM981033	met1 het	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103758	SRX174251	GSM981034: met1 WT BS-seq	2012-08-07	11419	11961	2013-01-11	SRR534242	SRS353481	GSM981034	met1 WT	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103759	SRX174252	GSM981035: met2 BS-seq	2012-08-07	14501	15640	2013-01-11	SRR534243	SRS353482	GSM981035	met2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103760	SRX174253	GSM981036: mom1 BS-seq	2012-08-07	10906	11611	2013-01-11	SRR534178	SRS353483	GSM981036	mom1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103761	SRX174254	GSM981037: msi1 BS-seq	2012-08-07	13826	14781	2013-01-11	SRR534179	SRS353484	GSM981037	msi2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103762	SRX174255	GSM981038: nrpb2 BS-seq	2012-08-07	13401	14639	2013-01-11	SRR534180	SRS353485	GSM981038	nrpb2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103763	SRX174256	GSM981039: nrpd1 BS-seq	2012-08-07	12507	13526	2013-01-11	SRR534181	SRS353486	GSM981039	nrpd1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103764	SRX174257	GSM981040: nrpe1 BS-seq	2012-08-07	12900	14269	2013-01-11	SRR534182	SRS353487	GSM981040	nrpe1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103765	SRX174258	GSM981041: rdd BS-seq	2012-08-07	10894	11711	2013-01-11	SRR534183	SRS353488	GSM981041	rdd	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103766	SRX174259	GSM981042: rdm1 BS-seq	2012-08-07	13569	15162	2013-01-11	SRR534184	SRS353489	GSM981042	rdm1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103767	SRX174260	GSM981043: rdr1 BS-seq	2012-08-07	6930	7188	2013-01-11	SRR534185	SRS353490	GSM981043	rdr1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103768	SRX174261	GSM981044: rdr2 BS-seq	2012-08-07	11924	13157	2013-01-11	SRR534186	SRS353491	GSM981044	rdr2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103769	SRX174262	GSM981045: rdr6 BS-seq	2012-08-07	12906	13558	2013-01-11	SRR534187	SRS353492	GSM981045	rdr6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103770	SRX174263	GSM981046: ref6 BS-seq	2012-08-07	14422	15482	2013-01-11	SRR534188	SRS353493	GSM981046	ref6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103771	SRX174264	GSM981047: ros3 BS-seq	2012-08-07	12079	13117	2013-01-11	SRR534189	SRS353494	GSM981047	ros3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103772	SRX174265	GSM981048: rpa2 BS-seq	2012-08-07	13708	14572	2013-01-11	SRR534190	SRS353495	GSM981048	rpa2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103773	SRX174266	GSM981049: sde3 BS-seq	2012-08-07	10271	10507	2013-01-11	SRR534191	SRS353496	GSM981049	sde3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103774	SRX174267	GSM981050: sde5 BS-seq	2012-08-07	11698	13044	2013-01-11	SRR534192	SRS353497	GSM981050	sde5	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103775	SRX174268	GSM981051: sdg2 BS-seq	2012-08-07	3089	3218	2013-01-11	SRR534244	SRS353498	GSM981051	sdg2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103776	SRX174269	GSM981052: sdg8 BS-seq	2012-08-07	12208	13289	2013-01-11	SRR534245	SRS353499	GSM981052	sdg8	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103777	SRX174270	GSM981053: sgs3 BS-seq	2012-08-07	12757	14317	2013-01-11	SRR534246	SRS353500	GSM981053	sgs3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103778	SRX174271	GSM981054: suvh1 BS-seq	2012-08-07	12415	13403	2013-01-11	SRR534247	SRS353501	GSM981054	suvh1	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103779	SRX174272	GSM981055: suvh2 BS-seq	2012-08-07	11326	11646	2013-01-11	SRR534248	SRS353502	GSM981055	suvh2	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103780	SRX174273	GSM981056: suvh3 BS-seq	2012-08-07	12088	13006	2013-01-11	SRR534249	SRS353503	GSM981056	suvh3	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103781	SRX174274	GSM981057: suvh4/kyp BS-seq	2012-08-07	12194	13133	2013-01-11	SRR534250	SRS353504	GSM981057	suvh4/kyp	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103782	SRX174275	GSM981058: suvh5 BS-seq	2012-08-07	14226	15141	2013-01-11	SRR534251	SRS353505	GSM981058	suvh5	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103783	SRX174276	GSM981059: suvh6 BS-seq	2012-08-07	12453	13681	2013-01-11	SRR534252	SRS353506	GSM981059	suvh6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
50	SAMN01103784	SRX174277	GSM981060: suvh4/5/6 BS-seq	2012-08-07	14138	15152	2013-01-11	SRR534253	SRS353507	GSM981060	suvh4/5/6	Bisulfite-Seq	PRJNA172021	GEO	public	0	Illumina HiSeq 2000	SINGLE	RANDOM	GENOMIC	Arabidopsis thaliana	ILLUMINA	SRP014726	Columbia	3wk-old leaf tissue
